lambda,risk,relative_score,rank
0.66,TRUST,0.7585718123265791,4
0.66,ADOPT,0.7187407482774978,5
0.67,GOV,0.9751020922119502,2
0.67,CONN,0.928640795812947,3
0.67,SKILL,1.0,1
0.67,AFFORD,0.3935554162338697,6
0.67,TRUST,0.7597369671336798,4
0.67,ADOPT,0.71512670536036,5
0.68,GOV,0.977308053668622,2
0.68,CONN,0.9275821138801336,3
0.68,SKILL,1.0,1
0.68,AFFORD,0.3980472857938663,6
0.68,TRUST,0.7608962647714145,4
0.68,ADOPT,0.7115109078330218,5
0.69,GOV,0.9795043657865133,2
0.69,CONN,0.9265251353610027,3
0.69,SKILL,1.0,1
0.69,AFFORD,0.4025364385770624,6
0.69,TRUST,0.7620497169124419,4
0.69,ADOPT,0.7078934180073021,5
0.7,GOV,0.981691083843148,2
0.7,CONN,0.9254698736514838,3
0.7,SKILL,1.0,1
0.7,AFFORD,0.4070228446919283,6
0.7,TRUST,0.7631973353458588,4
0.7,ADOPT,0.7042742975011905,5
0.71,GOV,0.9838682626686169,2
0.71,CONN,0.9244163418636251,3
0.71,SKILL,1.0,1
0.71,AFFORD,0.411506474670119,6
0.71,TRUST,0.7643391319743903,4
0.71,ADOPT,0.7006536072469011,5
0.72,GOV,0.9860359566506219,2
0.72,CONN,0.9233645528300138,3
0.72,SKILL,1.0,1
0.72,AFFORD,0.41598729946118285,6
0.72,TRUST,0.7654751188116318,4
0.72,ADOPT,0.6970314074988152,5
0.73,GOV,0.9881942197394474,2
0.73,CONN,0.9223145191081243,3
0.73,SKILL,1.0,1
0.73,AFFORD,0.4204652904273428,6
0.73,TRUST,0.7666053079793332,4
0.73,ADOPT,0.6934077578413133,5
0.74,GOV,0.9903431054528605,2
0.74,CONN,0.9212662529845946,3
0.74,SKILL,1.0,1
0.74,AFFORD,0.4249404193383538,6
0.74,TRUST,0.7677297117047338,4
0.74,ADOPT,0.689782717196499,5
0.75,GOV,0.9924826668809402,2
0.75,CONN,0.9202197664794332,3
0.75,SKILL,1.0,1
0.75,AFFORD,0.42941265836643144,6
